version,learning_rate,discount_rate,min_exploration_rate,max_exploration_rate,exploration_rate_decay_rate,goal_reached_percentage,avg_episode_learn
1,0.2,0.95,0.01,1,0.005,91.32%,159.24
2,0.1,0.93,0.01,1,0.005,90.17%,183.02
3,0.01,0.8,0.01,1,0.005,79.35%,356.89
4,0.3,0.98,0.01,1,0.005,91.74%,155.98
5,0.5,0.98,0.01,1,0.005,92.20%,148.17
6,0.2,0.95,0.01,1,0.001,71.43%,409.95
7,0.2,0.95,0.05,0.95,0.005,91.30%,161.33
8,0.2,0.95,0.003,1,0.05,97.10%,69.79
9,0.2,0.95,0.001,0.9,0.001,76.82%,340.87
10,0.2,0.95,0.001,1,0.01,92.19%,153.05
11,0.2,0.95,0.003,1,0.5,97.83%,55.35
